rgb_total_r_mean,rgb_total_r_std,rgb_total_r_mean_minus_std,rgb_total_r_mean_plus_std,rgb_total_g_mean,rgb_total_g_std,class
103.6583011,49.3454405,54.31286059,153.0037416,75.707518,39.58220213,0
31.15619796,34.61562384,-3.459425884,65.7718218,24.73071672,31.4206024,0
94.76106975,57.49103361,37.27003614,152.2521034,78.82121865,50.36753198,0
73.12503367,65.84734892,7.277684754,138.9723826,60.24978571,54.83837615,0
67.87657352,52.73861702,15.1379565,120.6151905,79.00382666,61.6496532,0
62.74667234,30.90376136,31.84291098,93.6504337,51.91950247,28.29834394,0
109.2922493,46.03093757,63.26131177,155.3231869,75.96115792,31.31176416,0
6.425974113,16.50561648,-10.07964237,22.93159059,5.670671899,15.15357972,0
67.75089391,68.6351813,-0.884287398,136.3860752,67.40079166,68.58523121,0
73.65459382,51.22807584,22.42651798,124.8826697,48.73373518,38.51015781,0
29.44343897,13.2372413,16.20619767,42.68068027,29.64158626,13.31145545,0
68.19743094,74.61332243,-6.415891495,142.8107534,68.07561471,76.39462251,0
87.53942986,72.8793768,14.66005306,160.4188067,92.52574574,71.25913495,0
78.43901229,79.4962804,-1.05726811,157.9352927,77.99803769,79.67462385,0
94.24472228,84.60044758,9.644274696,178.8451699,80.97677679,71.38522424,0
104.9184974,71.84218498,33.07631244,176.7606824,104.4395119,69.22153919,0
61.9445195,63.63483378,-1.690314276,125.5793533,33.75555099,42.81288604,0
85.70441688,52.48205181,33.22236507,138.1864687,39.84976244,41.93974866,0
83.84926187,53.05633179,30.79293008,136.9055937,80.19640321,39.76751101,0
74.78218598,52.93982076,21.84236522,127.7220067,65.94016589,39.54357113,0
96.4977438,64.55192518,31.94581862,161.049669,80.86144139,57.69161623,0
57.47215725,51.87944213,5.592715123,109.3515994,51.20258008,47.9174507,0
80.24195484,32.69814165,47.54381319,112.9400965,49.96925512,32.72861461,0
87.55477016,18.58858635,68.96618381,106.1433565,52.50984216,15.47616658,0
37.25946562,29.71838657,7.54107905,66.97785218,39.27529266,27.84095486,0
101.6856785,55.10331006,46.58236845,156.7889886,80.89913548,50.60687271,0
75.46167222,57.05989536,18.40177686,132.5215676,57.70044328,45.90608964,0
69.8039834,43.81492003,25.98906336,113.6189034,45.70741698,26.6291822,0
95.57784948,57.63991248,37.937937,153.217762,73.2310902,52.57168549,0
106.2640545,34.32992917,71.93412537,140.5939837,79.204423,29.54299488,0
100.0496363,81.12941606,18.92022026,181.1790524,92.31439496,69.2783089,0
108.8744612,43.34136101,65.5331002,152.2158222,86.79340958,38.40491515,0
104.8941761,57.29191047,47.60226567,162.1860866,75.36608236,51.07191592,0
59.91629727,70.26437188,-10.34807461,130.1806691,58.07201766,70.26743986,0
92.13571157,52.14804046,39.98767111,144.283752,55.65600509,34.9493955,0
67.09442655,67.10418479,-0.00975824,134.1986113,67.99213852,67.3875391,0
94.22162152,79.85722908,14.36439244,174.0788506,75.71590297,64.32381664,0
35.5194241,27.37505573,8.144368371,62.89447984,36.79893221,23.75989703,0
95.27553757,50.44214826,44.8333893,145.7176858,60.07458305,41.86426728,0
25.06663585,21.64623188,3.420403969,46.71286773,26.24569578,17.87376883,0
32.05387013,34.13397992,-2.08010979,66.18785004,26.86444149,28.00290496,0
13.48694039,18.96069304,-5.473752655,32.44763343,8.673494441,15.27381793,0
107.6369978,68.67728746,38.95971031,176.3142852,83.18846922,46.01021673,0
17.3469797,29.62464728,-12.27766758,46.97162697,12.44030723,27.78148257,0
48.47176847,42.07770826,6.394060203,90.54947673,30.13889841,35.04458542,0
73.9976887,51.90418367,22.09350503,125.9018724,54.19206443,40.02925973,1
38.33031385,37.32552379,1.004790058,75.65583764,28.06478069,31.18556642,1
79.11883449,74.02251326,5.096321233,153.1413478,86.66866673,74.50645413,1
80.18376518,58.33948105,21.84428413,138.5232462,92.88544524,62.52275652,1
69.4550169,72.7927459,-3.337728999,142.2477628,55.74307835,55.73407897,1
4.458791512,19.98448495,-15.52569344,24.44327646,3.018453664,15.78840097,1
16.31411332,30.01928702,-13.7051737,46.33340034,13.91264817,25.95346965,1
69.98230861,69.64866218,0.333646429,139.6309708,44.45282193,53.48920213,1
43.2806959,24.91860487,18.36209103,68.19930077,30.04205648,20.15734132,1
101.9012509,70.43023023,31.47102062,172.3314811,104.3968089,70.71031141,1
100.5485638,31.02946132,69.51910247,131.5780251,78.52255639,24.62965329,1
64.00459505,65.69779769,-1.693202641,129.7023927,63.62650005,65.03655528,1
68.4501249,71.53994532,-3.08982042,139.9900702,73.37956443,72.78391308,1
116.753542,74.16114722,42.59239473,190.9146892,115.299722,74.09248219,1
69.9399613,68.28771,1.652251305,138.2276713,68.7970495,67.86634905,1
71.70239334,67.14946774,4.552925606,138.8518611,71.87737253,65.4517621,1
97.40422345,73.2646299,24.13959355,170.6688533,97.58759692,73.60298858,1
83.59007029,83.41441331,0.175656979,167.0044836,82.75499914,82.00273173,1
90.7267125,67.37654249,23.35017002,158.103255,97.38191859,66.34418694,1
77.59895731,73.65442382,3.944533496,151.2533811,79.00723085,76.86324849,1
123.7952923,75.77459613,48.02069616,199.5698884,121.8292271,75.38952533,1
70.58917026,75.83047628,-5.241306022,146.4196465,75.46231203,79.61504124,1
62.7382537,71.99141867,-9.253164971,134.7296724,63.01338717,69.99284389,1
99.08159348,61.63425239,37.44734109,160.7158459,106.9582956,62.50262428,1
105.1348789,76.74811377,28.38676512,181.8829927,112.2822541,80.87877817,1
88.09502351,22.76072721,65.3342963,110.8557507,59.39566088,19.82206122,1
82.10329827,75.43972132,6.663576956,157.5430196,77.60004714,72.36039681,1
103.8299313,69.66758345,34.16234782,173.4975147,110.9817317,69.81986372,1
83.30070472,76.58673981,6.71396491,159.8874445,85.30734167,76.97314324,1
78.79827403,71.74555372,7.05272031,150.5438277,84.75616245,74.54053453,1
73.88966987,75.97722701,-2.087557148,149.8668969,75.34615314,75.87779556,1
64.34657866,30.48580034,33.86077833,94.832379,40.59858077,25.14323653,1
85.0723544,79.18457002,5.887784381,164.2569244,85.85237681,82.36972992,1
68.94451043,70.58409406,-1.639583632,139.5286045,69.21866428,69.37714343,1
63.56541744,71.64598789,-8.080570447,135.2114053,65.31964513,73.38754334,1
104.4999235,70.41852656,34.08139691,174.91845,110.2075792,72.44676758,1
32.93287418,26.68136776,6.251506419,59.61424194,26.46089344,23.16546318,1
74.43035714,57.30339292,17.12696422,131.7337501,67.93378399,39.22683027,1
106.6592072,44.37272536,62.28648188,151.0319326,82.96330084,42.54100658,1
100.1675126,50.32653304,49.84097958,150.4940456,81.41302165,46.60117181,1
103.5004408,49.85663911,53.64380172,153.3570799,79.37682149,44.53075354,1
96.02548553,67.11947614,28.90600939,163.1449617,79.77465591,61.10521261,1
105.2073711,59.22594943,45.98142162,164.4333205,82.7414834,50.80562962,1
37.25699206,27.99778034,9.259211721,65.25477241,32.1886633,27.24683553,1
95.11948349,56.49729461,38.62218889,151.6167781,62.40016103,54.00641978,1